lga_name,state,zone,year,month,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,ndvi,flood_risk_flag,drought_flag
Aba North,Abia,SE,2022,12,103.0,31.5,25.1,74.1,0.192,0,0
Aba North,Abia,SE,2023,1,5.5,30.3,22.2,82.0,0.102,0,1
Aba North,Abia,SE,2023,2,78.9,29.9,25.6,75.1,0.333,0,0
Aba North,Abia,SE,2023,3,250.5,32.3,23.9,85.6,0.775,0,0
Aba North,Abia,SE,2023,4,159.4,32.9,21.9,87.8,0.315,0,0
Aba North,Abia,SE,2023,5,431.0,32.0,21.9,93.8,0.56,0,0
Aba North,Abia,SE,2023,6,1257.2,31.3,25.1,63.4,0.136,0,0
Aba North,Abia,SE,2023,7,1276.5,28.4,21.0,77.4,0.779,0,0
Aba North,Abia,SE,2023,8,249.1,29.9,24.5,86.7,0.226,0,0
Aba North,Abia,SE,2023,9,208.0,31.9,25.0,86.0,0.509,0,0
Aba North,Abia,SE,2023,10,1100.0,31.1,23.1,66.8,0.422,0,0
Aba North,Abia,SE,2023,11,111.1,32.1,24.9,89.8,0.317,0,0
Aba North,Abia,SE,2023,12,106.6,29.0,23.7,87.3,0.445,0,0
Aba North,Abia,SE,2024,1,8.1,32.2,23.2,90.3,0.642,0,1
Aba North,Abia,SE,2024,2,42.8,27.5,25.8,60.2,0.686,0,0
Aba North,Abia,SE,2024,3,218.5,27.5,24.5,62.5,0.43,0,0
Aba North,Abia,SE,2024,4,36.4,33.4,23.3,87.3,0.35,0,0
Aba North,Abia,SE,2024,5,756.0,28.7,23.9,90.2,0.515,0,0
Aba North,Abia,SE,2024,6,288.3,29.5,21.2,69.0,0.524,0,0
Aba North,Abia,SE,2024,7,276.1,32.6,23.1,72.1,0.481,0,0
Aba North,Abia,SE,2024,8,289.7,32.2,20.6,91.3,0.416,0,0
Aba North,Abia,SE,2024,9,751.0,32.6,22.4,72.8,0.522,0,0
Aba North,Abia,SE,2024,10,228.4,29.8,23.9,88.7,0.102,0,0
Aba North,Abia,SE,2024,11,156.8,31.1,25.4,88.0,0.602,0,0
Aba North,Abia,SE,2024,12,43.3,29.2,23.2,94.5,0.796,0,0
Aba North,Abia,SE,2025,1,34.8,33.5,24.3,65.2,0.157,0,0
Aba North,Abia,SE,2025,2,69.8,31.8,23.5,73.8,0.212,0,0
Aba North,Abia,SE,2025,3,471.1,32.1,21.4,73.0,0.675,0,0
Aba North,Abia,SE,2025,4,286.2,31.8,21.7,94.0,0.621,0,0
Aba North,Abia,SE,2025,5,1010.5,30.7,20.1,73.7,0.21,0,0
Aba North,Abia,SE,2025,6,1774.8,27.6,25.4,69.9,0.406,1,0
Aba South,Abia,SE,2019,1,77.0,33.1,24.3,72.0,0.392,0,0
Aba South,Abia,SE,2019,2,29.0,33.5,23.6,76.4,0.285,0,1
Aba South,Abia,SE,2019,3,29.9,33.4,25.4,86.7,0.688,0,1
Aba South,Abia,SE,2019,4,253.9,30.5,25.8,79.5,0.795,0,0
Aba South,Abia,SE,2019,5,121.3,28.2,25.9,85.0,0.52,0,0
Aba South,Abia,SE,2019,6,1576.3,30.8,24.3,84.2,0.72,0,0
Aba South,Abia,SE,2019,7,777.2,28.6,20.6,83.8,0.737,0,0
Aba South,Abia,SE,2019,8,2045.8,29.7,20.6,78.8,0.487,1,0
Aba South,Abia,SE,2019,9,1446.1,29.4,24.8,68.4,0.561,0,0
Aba South,Abia,SE,2019,10,220.5,31.6,20.2,94.8,0.659,0,0
Aba South,Abia,SE,2019,11,342.7,28.1,20.1,67.9,0.733,0,0
Aba South,Abia,SE,2019,12,86.4,30.3,25.7,72.7,0.295,0,0
Aba South,Abia,SE,2020,1,62.6,31.9,24.7,90.2,0.575,0,0
Aba South,Abia,SE,2020,2,86.5,28.0,23.8,66.9,0.411,0,0
Aba South,Abia,SE,2020,3,50.5,29.7,20.4,81.6,0.337,0,0
Aba South,Abia,SE,2020,4,137.1,28.9,25.3,77.0,0.371,0,0
Aba South,Abia,SE,2020,5,647.8,33.1,21.1,71.4,0.631,0,0
Aba South,Abia,SE,2020,6,1002.2,27.0,21.4,60.5,0.624,0,0
Aba South,Abia,SE,2020,7,276.8,30.7,20.1,73.1,0.669,0,0
Aba South,Abia,SE,2020,8,2277.3,27.0,25.4,78.1,0.134,1,0
Aba South,Abia,SE,2020,9,2327.5,27.4,21.4,73.9,0.267,1,0
Aba South,Abia,SE,2020,10,1254.1,29.6,20.8,78.6,0.549,0,0
Aba South,Abia,SE,2020,11,330.6,30.0,25.0,81.8,0.511,0,0
Aba South,Abia,SE,2020,12,6.3,28.5,20.3,64.1,0.215,0,1
Aba South,Abia,SE,2021,1,101.7,28.7,20.2,72.8,0.116,0,0
Aba South,Abia,SE,2021,2,36.5,28.1,21.2,93.0,0.63,0,0
Aba South,Abia,SE,2021,3,292.8,31.9,22.2,90.0,0.502,0,0
Aba South,Abia,SE,2021,4,415.7,33.8,20.2,81.8,0.473,0,0
Aba South,Abia,SE,2021,5,121.9,33.0,22.8,92.1,0.763,0,0
Aba South,Abia,SE,2021,6,2342.7,31.6,21.5,69.6,0.541,1,0
Aba South,Abia,SE,2021,7,2384.4,27.3,21.7,79.5,0.523,1,0
Aba South,Abia,SE,2021,8,1764.4,33.5,21.4,63.2,0.49,1,0
Aba South,Abia,SE,2021,9,1613.5,27.8,23.3,73.6,0.54,0,0
Aba South,Abia,SE,2021,10,822.3,29.0,25.0,69.9,0.331,0,0
Aba South,Abia,SE,2021,11,490.6,28.1,21.0,87.8,0.36,0,0
Aba South,Abia,SE,2021,12,19.8,31.3,20.3,84.5,0.366,0,1
Aba South,Abia,SE,2022,1,33.2,32.7,20.6,74.7,0.198,0,0
Aba South,Abia,SE,2022,2,70.0,27.2,20.1,75.7,0.548,0,0
Aba South,Abia,SE,2022,3,383.7,33.3,22.4,64.6,0.347,0,0
Aba South,Abia,SE,2022,4,497.3,29.6,22.2,62.5,0.768,0,0
Aba South,Abia,SE,2022,5,1040.5,27.5,21.4,85.4,0.766,0,0
Aba South,Abia,SE,2022,6,1115.6,32.7,21.9,61.9,0.469,0,0
Aba South,Abia,SE,2022,7,1473.0,29.6,21.1,70.6,0.246,0,0
Aba South,Abia,SE,2022,8,1517.8,29.2,23.4,62.0,0.363,0,0
Aba South,Abia,SE,2022,9,734.1,32.2,21.3,83.8,0.324,0,0
Aba South,Abia,SE,2022,10,1412.1,33.4,23.5,71.2,0.422,0,0
Aba South,Abia,SE,2022,11,294.9,32.1,24.6,92.6,0.546,0,0
Aba South,Abia,SE,2022,12,68.8,30.0,24.5,70.5,0.603,0,0
Aba South,Abia,SE,2023,1,74.7,30.0,22.3,64.3,0.265,0,0
Aba South,Abia,SE,2023,2,110.7,32.0,23.0,82.0,0.492,0,0
Aba South,Abia,SE,2023,3,210.1,33.7,22.2,76.4,0.64,0,0
Aba South,Abia,SE,2023,4,485.9,34.0,24.2,89.7,0.661,0,0
Aba South,Abia,SE,2023,5,187.7,28.9,25.1,88.2,0.17,0,0
Aba South,Abia,SE,2023,6,545.5,27.2,22.2,77.1,0.252,0,0
Aba South,Abia,SE,2023,7,2140.7,28.0,24.2,84.5,0.249,1,0
Aba South,Abia,SE,2023,8,1738.3,28.5,26.0,74.2,0.281,0,0
Aba South,Abia,SE,2023,9,546.5,30.9,20.8,68.4,0.215,0,0
Aba South,Abia,SE,2023,10,628.5,32.6,25.8,73.2,0.702,0,0
Aba South,Abia,SE,2023,11,333.3,28.8,22.6,92.1,0.535,0,0
Aba South,Abia,SE,2023,12,90.1,28.6,23.2,71.8,0.198,0,0
Aba South,Abia,SE,2024,1,21.4,31.8,20.1,63.3,0.582,0,1
Aba South,Abia,SE,2024,2,5.0,30.0,21.1,86.6,0.223,0,1
Aba South,Abia,SE,2024,3,153.9,28.0,25.8,77.3,0.149,0,0
Aba South,Abia,SE,2024,4,303.7,28.0,23.6,88.0,0.438,0,0
Aba South,Abia,SE,2024,5,1240.6,33.0,22.0,69.4,0.339,0,0
Aba South,Abia,SE,2024,6,2252.1,27.4,25.6,71.3,0.498,1,0
Aba South,Abia,SE,2024,7,1562.4,27.5,23.3,67.7,0.121,0,0
Aba South,Abia,SE,2024,8,1819.9,29.8,21.7,68.6,0.571,1,0
Aba South,Abia,SE,2024,9,542.3,32.3,26.0,85.4,0.205,0,0
Aba South,Abia,SE,2024,10,244.7,30.1,22.8,67.1,0.153,0,0
Aba South,Abia,SE,2024,11,445.6,30.5,25.8,93.4,0.381,0,0
Aba South,Abia,SE,2024,12,40.8,30.3,25.6,75.5,0.245,0,0
Aba South,Abia,SE,2025,1,48.4,28.7,24.8,71.7,0.319,0,0
Aba South,Abia,SE,2025,2,79.9,32.6,20.8,70.1,0.61,0,0
Aba South,Abia,SE,2025,3,38.0,30.3,24.2,85.5,0.193,0,0
Aba South,Abia,SE,2025,4,258.1,27.1,23.9,75.2,0.647,0,0
Aba South,Abia,SE,2025,5,588.2,28.2,22.7,64.8,0.498,0,0
Aba South,Abia,SE,2025,6,105.8,33.5,25.0,60.5,0.128,0,0
Arochukwu,Abia,SE,2019,1,89.8,28.3,23.1,94.4,0.544,0,0
Arochukwu,Abia,SE,2019,2,100.3,33.6,25.3,87.8,0.762,0,0
Arochukwu,Abia,SE,2019,3,369.9,29.0,22.7,71.0,0.44,0,0
Arochukwu,Abia,SE,2019,4,301.4,27.7,25.6,94.3,0.589,0,0
Arochukwu,Abia,SE,2019,5,881.9,30.4,23.4,79.0,0.294,0,0
Arochukwu,Abia,SE,2019,6,2493.4,32.5,21.5,92.0,0.454,1,0
Arochukwu,Abia,SE,2019,7,182.5,32.2,25.3,88.5,0.11,0,0
Arochukwu,Abia,SE,2019,8,777.0,31.9,24.0,65.0,0.392,0,0
Arochukwu,Abia,SE,2019,9,2193.7,29.1,20.8,86.1,0.783,1,0
Arochukwu,Abia,SE,2019,10,430.5,29.7,20.8,65.5,0.484,0,0
Arochukwu,Abia,SE,2019,11,357.9,33.2,24.8,62.6,0.707,0,0
Arochukwu,Abia,SE,2019,12,17.5,31.3,23.4,71.9,0.276,0,1
Arochukwu,Abia,SE,2020,1,5.5,27.5,24.1,75.3,0.589,0,1
Arochukwu,Abia,SE,2020,2,115.3,28.1,25.5,88.6,0.781,0,0
Arochukwu,Abia,SE,2020,3,357.5,29.1,23.0,66.0,0.723,0,0
Arochukwu,Abia,SE,2020,4,325.7,29.4,24.3,86.1,0.587,0,0
Arochukwu,Abia,SE,2020,5,152.5,30.6,23.0,64.9,0.776,0,0
Arochukwu,Abia,SE,2020,6,592.1,30.7,23.3,76.9,0.331,0,0
Arochukwu,Abia,SE,2020,7,1412.0,32.9,20.4,78.3,0.369,0,0
Arochukwu,Abia,SE,2020,8,284.9,32.1,24.2,68.9,0.55,0,0
Arochukwu,Abia,SE,2020,9,1062.0,30.3,25.9,81.0,0.781,0,0
Arochukwu,Abia,SE,2020,10,1454.7,29.7,24.5,71.4,0.4,0,0
Arochukwu,Abia,SE,2020,11,233.0,28.9,24.7,73.5,0.719,0,0
Arochukwu,Abia,SE,2020,12,70.0,33.8,25.1,90.0,0.411,0,0
Arochukwu,Abia,SE,2021,1,29.2,32.6,20.3,79.0,0.502,0,1
Arochukwu,Abia,SE,2021,2,21.9,27.6,22.4,60.3,0.393,0,1
Arochukwu,Abia,SE,2021,3,191.0,29.2,22.7,77.7,0.766,0,0
Arochukwu,Abia,SE,2021,4,178.7,31.7,23.1,74.0,0.329,0,0
Arochukwu,Abia,SE,2021,5,1152.5,33.2,22.1,94.7,0.221,0,0
Arochukwu,Abia,SE,2021,6,1228.6,28.9,20.0,73.5,0.412,0,0
Arochukwu,Abia,SE,2021,7,1350.4,32.7,24.9,90.0,0.304,0,0
Arochukwu,Abia,SE,2021,8,238.0,27.5,22.3,68.9,0.175,0,0
Arochukwu,Abia,SE,2021,9,520.3,28.8,21.8,62.4,0.459,0,0
Arochukwu,Abia,SE,2021,10,940.7,33.5,20.0,88.1,0.683,0,0
Arochukwu,Abia,SE,2021,11,116.8,29.8,23.2,74.9,0.459,0,0
Arochukwu,Abia,SE,2021,12,33.0,29.2,22.8,61.5,0.144,0,0
Arochukwu,Abia,SE,2022,1,7.4,28.7,21.2,90.9,0.309,0,1
Arochukwu,Abia,SE,2022,2,117.4,28.1,21.3,82.5,0.143,0,0
Arochukwu,Abia,SE,2022,3,41.7,31.9,24.4,78.9,0.615,0,0
Arochukwu,Abia,SE,2022,4,127.2,33.9,24.7,69.7,0.148,0,0
Arochukwu,Abia,SE,2022,5,447.5,31.0,23.5,75.2,0.146,0,0
Arochukwu,Abia,SE,2022,6,1557.8,31.2,25.2,92.2,0.727,0,0
Arochukwu,Abia,SE,2022,7,2206.3,27.9,21.6,94.7,0.489,1,0
Arochukwu,Abia,SE,2022,8,362.8,29.5,23.7,78.4,0.309,0,0
Arochukwu,Abia,SE,2022,9,2294.5,30.2,22.1,87.0,0.626,1,0
Arochukwu,Abia,SE,2022,10,768.7,33.9,25.8,60.5,0.325,0,0
Arochukwu,Abia,SE,2022,11,327.3,33.7,23.4,83.7,0.722,0,0
Arochukwu,Abia,SE,2022,12,75.1,31.4,23.3,64.9,0.788,0,0
Arochukwu,Abia,SE,2023,1,5.1,32.0,21.5,65.1,0.71,0,1
Arochukwu,Abia,SE,2023,2,107.8,32.6,25.8,72.4,0.471,0,0
Arochukwu,Abia,SE,2023,3,488.0,28.0,23.1,81.4,0.71,0,0
Arochukwu,Abia,SE,2023,4,244.9,32.9,20.9,68.0,0.494,0,0
Arochukwu,Abia,SE,2023,5,693.6,30.2,21.7,75.3,0.354,0,0
Arochukwu,Abia,SE,2023,6,976.7,33.6,23.9,62.3,0.73,0,0
Arochukwu,Abia,SE,2023,7,1870.8,34.0,24.1,85.3,0.241,1,0
Arochukwu,Abia,SE,2023,8,1302.1,32.3,20.8,81.2,0.651,0,0
Arochukwu,Abia,SE,2023,9,1348.0,29.8,23.1,92.8,0.174,0,0
Arochukwu,Abia,SE,2023,10,665.2,28.7,24.6,65.9,0.724,0,0
Arochukwu,Abia,SE,2023,11,34.9,31.5,24.3,73.2,0.536,0,0
Arochukwu,Abia,SE,2023,12,38.6,30.2,25.0,70.2,0.461,0,0
Arochukwu,Abia,SE,2024,1,16.8,33.9,21.2,60.1,0.382,0,1
Arochukwu,Abia,SE,2024,2,106.2,28.5,25.8,92.0,0.161,0,0
Arochukwu,Abia,SE,2024,3,64.3,32.7,25.5,87.9,0.163,0,0
Arochukwu,Abia,SE,2024,4,279.6,28.0,24.7,91.0,0.676,0,0
Arochukwu,Abia,SE,2024,5,1243.3,30.9,22.5,79.2,0.685,0,0
Arochukwu,Abia,SE,2024,6,2340.6,33.5,21.4,76.1,0.201,1,0
Arochukwu,Abia,SE,2024,7,1669.0,27.8,23.7,93.1,0.119,0,0
Arochukwu,Abia,SE,2024,8,463.6,28.2,22.8,89.0,0.14,0,0
Arochukwu,Abia,SE,2024,9,1800.2,32.6,25.9,71.1,0.291,1,0
Arochukwu,Abia,SE,2024,10,1211.2,30.8,23.8,61.9,0.722,0,0
Arochukwu,Abia,SE,2024,11,154.7,30.3,22.7,71.3,0.282,0,0
Arochukwu,Abia,SE,2024,12,80.3,30.1,23.0,71.0,0.515,0,0
Arochukwu,Abia,SE,2025,1,14.3,32.7,25.2,78.9,0.58,0,1
Arochukwu,Abia,SE,2025,2,106.2,32.2,22.8,62.3,0.508,0,0
Arochukwu,Abia,SE,2025,3,173.8,31.2,23.3,70.6,0.457,0,0
Arochukwu,Abia,SE,2025,4,312.1,32.0,22.3,74.2,0.485,0,0
Arochukwu,Abia,SE,2025,5,788.0,30.9,22.7,67.2,0.116,0,0
Arochukwu,Abia,SE,2025,6,473.3,27.1,22.9,62.8,0.266,0,0
Bende,Abia,SE,2019,1,52.9,27.8,20.7,82.1,0.568,0,0
Bende,Abia,SE,2019,2,8.3,32.9,24.4,79.2,0.665,0,1
Bende,Abia,SE,2019,3,67.9,33.5,23.9,78.9,0.551,0,0
Bende,Abia,SE,2019,4,426.7,32.5,20.6,86.8,0.671,0,0
Bende,Abia,SE,2019,5,98.2,32.8,20.0,74.1,0.601,0,0
Bende,Abia,SE,2019,6,2139.5,31.2,25.2,61.6,0.51,1,0
Bende,Abia,SE,2019,7,626.7,32.5,23.5,65.0,0.487,0,0
Bende,Abia,SE,2019,8,2244.3,28.6,25.4,77.9,0.751,1,0
Bende,Abia,SE,2019,9,1148.0,29.1,25.4,92.2,0.27,0,0
Bende,Abia,SE,2019,10,515.3,29.9,22.0,77.9,0.39,0,0
Bende,Abia,SE,2019,11,268.9,32.1,21.4,94.1,0.337,0,0
Bende,Abia,SE,2019,12,87.9,27.1,22.9,68.3,0.171,0,0
Bende,Abia,SE,2020,1,25.5,32.6,25.4,67.6,0.326,0,1
Bende,Abia,SE,2020,2,45.8,27.3,25.1,71.1,0.573,0,0
Bende,Abia,SE,2020,3,35.7,27.9,20.6,76.7,0.522,0,0
Bende,Abia,SE,2020,4,441.0,28.6,21.6,88.8,0.284,0,0
Bende,Abia,SE,2020,5,508.1,33.9,23.2,63.7,0.153,0,0
Bende,Abia,SE,2020,6,253.3,33.2,25.7,82.8,0.591,0,0
Bende,Abia,SE,2020,7,1906.1,33.6,25.9,87.8,0.696,1,0
Bende,Abia,SE,2020,8,576.3,30.8,22.7,71.4,0.625,0,0
Bende,Abia,SE,2020,9,2065.9,32.4,23.6,86.0,0.508,1,0
Bende,Abia,SE,2020,10,690.6,33.1,23.7,78.8,0.712,0,0
Bende,Abia,SE,2020,11,88.2,31.5,21.8,87.2,0.287,0,0
Bende,Abia,SE,2020,12,56.2,29.0,22.5,76.6,0.667,0,0
Bende,Abia,SE,2021,1,8.0,32.3,21.4,87.0,0.608,0,1
Bende,Abia,SE,2021,2,56.3,29.1,20.1,75.1,0.756,0,0
Bende,Abia,SE,2021,3,314.3,30.4,24.6,77.7,0.246,0,0
Bende,Abia,SE,2021,4,77.1,31.1,23.0,75.9,0.742,0,0
Bende,Abia,SE,2021,5,926.0,31.9,20.9,75.4,0.173,0,0
Bende,Abia,SE,2021,6,1044.4,30.9,24.5,84.9,0.196,0,0
Bende,Abia,SE,2021,7,2091.7,29.3,22.2,84.7,0.313,1,0
Bende,Abia,SE,2021,8,492.8,32.8,21.4,70.5,0.363,0,0
Bende,Abia,SE,2021,9,2482.4,29.6,23.3,81.9,0.278,1,0
Bende,Abia,SE,2021,10,416.3,30.0,22.3,93.1,0.737,0,0
Bende,Abia,SE,2021,11,163.9,32.6,25.1,84.8,0.372,0,0
Bende,Abia,SE,2021,12,92.3,29.4,23.8,72.5,0.298,0,0
Bende,Abia,SE,2022,1,14.9,31.4,21.6,92.6,0.75,0,1
Bende,Abia,SE,2022,2,18.8,27.4,20.0,60.5,0.213,0,1
Bende,Abia,SE,2022,3,99.5,30.6,20.6,79.8,0.15,0,0
Bende,Abia,SE,2022,4,420.4,29.0,26.0,68.0,0.634,0,0
Bende,Abia,SE,2022,5,1266.4,31.7,22.3,91.1,0.594,0,0
Bende,Abia,SE,2022,6,712.3,30.9,24.2,88.4,0.301,0,0
Bende,Abia,SE,2022,7,1866.3,27.9,24.9,90.1,0.475,1,0
Bende,Abia,SE,2022,8,792.7,31.5,21.4,67.0,0.754,0,0
Bende,Abia,SE,2022,9,2048.6,30.0,25.1,72.2,0.753,1,0
Bende,Abia,SE,2022,10,102.6,32.1,23.5,84.7,0.231,0,0
Bende,Abia,SE,2022,11,287.8,28.3,22.3,76.1,0.52,0,0
Bende,Abia,SE,2022,12,50.3,29.9,22.6,62.7,0.198,0,0
Bende,Abia,SE,2023,1,42.6,29.8,21.4,66.1,0.765,0,0
Bende,Abia,SE,2023,2,8.8,32.6,25.0,64.7,0.589,0,1
Bende,Abia,SE,2023,3,125.7,31.3,23.3,62.5,0.792,0,0
Bende,Abia,SE,2023,4,368.1,33.8,23.3,91.2,0.442,0,0
Bende,Abia,SE,2023,5,948.8,27.1,22.8,75.8,0.151,0,0
Bende,Abia,SE,2023,6,459.3,29.1,24.9,64.2,0.306,0,0
Bende,Abia,SE,2023,7,1580.3,28.5,24.7,72.3,0.421,0,0
Bende,Abia,SE,2023,8,2143.5,33.4,22.6,70.8,0.708,1,0
Bende,Abia,SE,2023,9,1004.5,27.4,23.3,68.6,0.626,0,0
Bende,Abia,SE,2023,10,606.6,27.5,23.5,86.3,0.615,0,0
Bende,Abia,SE,2023,11,328.6,33.3,23.8,72.5,0.631,0,0
Bende,Abia,SE,2023,12,81.7,30.4,22.6,89.8,0.284,0,0
Bende,Abia,SE,2024,1,16.1,31.3,20.2,92.5,0.778,0,1
Bende,Abia,SE,2024,2,115.3,30.8,20.0,66.3,0.661,0,0
Bende,Abia,SE,2024,3,184.8,32.1,25.9,89.1,0.647,0,0
Bende,Abia,SE,2024,4,150.1,29.0,24.1,90.6,0.38,0,0
Bende,Abia,SE,2024,5,262.6,30.7,23.2,80.0,0.31,0,0
Bende,Abia,SE,2024,6,1912.1,33.7,20.4,92.4,0.293,1,0
Bende,Abia,SE,2024,7,1854.9,31.9,22.2,76.9,0.506,1,0
Bende,Abia,SE,2024,8,575.1,29.5,20.7,84.4,0.512,0,0
Bende,Abia,SE,2024,9,1362.4,30.3,24.9,67.5,0.194,0,0
Bende,Abia,SE,2024,10,1051.0,29.0,23.5,70.0,0.409,0,0
Bende,Abia,SE,2024,11,332.3,30.0,23.1,61.8,0.47,0,0
Bende,Abia,SE,2024,12,49.9,27.4,20.6,84.4,0.436,0,0
Bende,Abia,SE,2025,1,34.2,29.2,23.5,71.4,0.757,0,0
Bende,Abia,SE,2025,2,35.0,30.0,23.2,66.0,0.173,0,0
Bende,Abia,SE,2025,3,404.1,30.4,23.3,79.2,0.168,0,0
Bende,Abia,SE,2025,4,315.3,29.8,23.1,74.8,0.19,0,0
Bende,Abia,SE,2025,5,1155.8,32.9,22.4,79.2,0.686,0,0
Bende,Abia,SE,2025,6,442.7,30.0,23.5,66.9,0.747,0,0
Ikwuano,Abia,SE,2019,1,91.6,29.6,21.6,84.7,0.237,0,0
Ikwuano,Abia,SE,2019,2,53.5,27.4,21.2,66.5,0.452,0,0
Ikwuano,Abia,SE,2019,3,439.7,33.8,24.1,71.7,0.587,0,0
Ikwuano,Abia,SE,2019,4,344.1,33.4,20.8,70.1,0.167,0,0
Ikwuano,Abia,SE,2019,5,476.6,28.1,22.4,76.8,0.172,0,0
Ikwuano,Abia,SE,2019,6,280.9,29.2,23.5,65.0,0.167,0,0
Ikwuano,Abia,SE,2019,7,2163.8,30.0,21.5,89.7,0.464,1,0
Ikwuano,Abia,SE,2019,8,408.9,33.0,21.7,61.1,0.324,0,0
Ikwuano,Abia,SE,2019,9,2185.7,31.1,21.1,66.2,0.361,1,0
Ikwuano,Abia,SE,2019,10,261.4,27.2,25.8,85.9,0.63,0,0
Ikwuano,Abia,SE,2019,11,428.2,27.8,21.2,78.7,0.246,0,0
Ikwuano,Abia,SE,2019,12,74.1,28.3,23.9,72.7,0.462,0,0
Ikwuano,Abia,SE,2020,1,119.6,27.8,21.3,68.5,0.518,0,0
Ikwuano,Abia,SE,2020,2,45.3,33.0,24.1,71.7,0.252,0,0
Ikwuano,Abia,SE,2020,3,109.1,29.8,24.6,70.4,0.41,0,0
Ikwuano,Abia,SE,2020,4,400.7,28.2,23.5,75.1,0.235,0,0
Ikwuano,Abia,SE,2020,5,310.4,27.4,24.9,93.3,0.273,0,0
Ikwuano,Abia,SE,2020,6,1900.9,31.5,22.8,91.7,0.675,1,0
Ikwuano,Abia,SE,2020,7,764.1,31.0,23.8,72.6,0.535,0,0
Ikwuano,Abia,SE,2020,8,2092.9,29.5,25.0,63.2,0.582,1,0
Ikwuano,Abia,SE,2020,9,2493.5,33.9,22.4,88.5,0.494,1,0
